Dealer name,Dealer adress,Purchase price,Reselling price,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Autohaus Koch GmbH,"Marzahner Chaussee 219
12681 Berlin
Autohaus Koch GmbH,"Marzahner Chaussee 219
12681 Berlin
Deutschland",25590,24655,"Mazda-3-SKY-G-150PS-ACC-MatrixLED-18""-360View-Navi-SHZ","Mazda 3 SKY-G 150PS ACC MatrixLED 18"" 360View Navi SHZ","<p>
<strong>Abholadresse</strong>
Marzahner Chaussee 219
12681 Berlin
Deutschland<br>
<strong>Fahrzeugzustand</strong>
Unfallfrei<br>
<strong>Kategorie</strong>
Limousine, Vorführfahrzeug<br>
<strong>Herkunft</strong>
Deutsche Ausführung<br>
<strong>Kilometerstand</strong>
5.000 km<br>
<strong>Hubraum</strong>
1.998 cm³<br>
<strong>Leistung</strong>
110 kW (150 PS)<br>
<strong>Kraftstoffart</strong>
Benzin<br>
<strong>Verbrauch</strong><br>
5,1 l/100km (kombiniert)<br>*
6,2 l/100km (innerorts)<br>*
4,5 l/100km (außerorts)<br>*
<strong>CO2-Emission</strong>
116 g/km (kombiniert)*<br>
<strong>Anzahl der Türen</strong>
4/5<br>
<strong>Anzahl Sitzplätze</strong>
5<br>
<strong>Getriebe</strong>
Schaltgetriebe<br>
<strong>Schadstoffklasse</strong>
Euro6d<br>
<strong>Umweltplakette</strong>
4 (Grün)<br>
<strong>Erstzulassung</strong>
08/2020<br>
<strong>Anzahl der Fahrzeughalter</strong>
1<br>
<strong>HU</strong>
Neu<br>
<strong>Klimatisierung</strong>
2-Zonen-Klimaautomatik<br>
<strong>Farbe (Hersteller)</strong>
Mitternachtsblau<br>
<strong>Farbe</strong>
Blau Metallic<br>
<strong>Innenausstattung</strong>
Stoff, Andere<br>
<strong>Weitere Eigenschaften</strong><br>
ABS, Abstandstempomat, Abstandswarner, Adaptives Kurvenlicht, Alarmanlage, Android Auto, Apple CarPlay, Armlehne, Beheizbares Lenkrad, Berganfahrassistent, Blendfreies Fernlicht, Bluetooth, Bordcomputer, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, ESP, Fernlichtassistent, Freisprecheinrichtung, Garantie, Geschwindigkeitsbegrenzer, Head-Up Display, Innenspiegel autom. abblendend, Isofix, Lederlenkrad, LED-Scheinwerfer, LED-Tagfahrlicht, Leichtmetallfelgen, Lichtsensor, Lordosenstütze, Müdigkeitswarner, Multifunktionslenkrad, Musikstreaming integriert, Navigationssystem, Nichtraucher-Fahrzeug, Notbremsassistent, Notrufsystem, Pannenkit, Radio DAB, Regensensor, Reifendruckkontrolle, Scheckheftgepflegt, Scheinwerferreinigung, Schlüssellose Zentralverriegelung, Servolenkung, Sitzheizung, Sommerreifen, Sprachsteuerung, Spurhalteassistent, Start/Stopp-Automatik, Totwinkel-Assistent, Traktionskontrolle, Tuner/Radio, USB, Verkehrszeichenerkennung, Volldigitales Kombiinstrument, Zentralverriegelung
</p>",Mazda,,"Marke_Mazda, Typ_Limousine, Alter_maximal 2 Jahre,Alter_maximal 5 Jahre,Alter_Alle, Kilometerstand_maximal 20.000 km,Kilometerstand_maximal 50.000 km,Kilometerstand_maximal 80.000 km,Kilometerstand_maximal 100.000 km, Leistung_Alle, Schaltung_Schaltgetriebe, Farbe_Blau, Kraftstoff_Benzin, Zustand_Gebraucht, Preis_Premium (ab 400 €)",WAHR,Deine Abo Dauer,3 Monate,Dein monatliches Kilometerpaket,500 km,,,ADA,0,,0,deny,manual,681,,FALSCH,WAHR,,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/HawAAOSw6RNe~haz/$_27.JPG,1,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/ZAQAAOSwbdde~haz/$_27.JPG,2,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/nBAAAOSw5CZe~haz/$_27.JPG,3,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/BGYAAOSwZDde~haz/$_27.JPG,4,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/RZUAAOSwAlVe~haz/$_27.JPG,5,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/bv4AAOSwgXle~haz/$_27.JPG,6,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/KR8AAOSwSvJe~haz/$_27.JPG,7,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/tmoAAOSwQ2te~haz/$_27.JPG,8,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/O-sAAOSwPT1e~haz/$_27.JPG,9,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/i0IAAOSwdRVe~haz/$_27.JPG,10,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/EGwAAOSwBbte~haz/$_27.JPG,11,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/NBUAAOSw5N9e~haz/$_27.JPG,12,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/10cAAOSwieFe~haz/$_27.JPG,13,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/ti0AAOSwzmxe~haz/$_27.JPG,14,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/Tn4AAOSwGUxe~ha0/$_27.JPG,15,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/HawAAOSw6RNe~haz/$_27.JPG,16,,,,,,,,,,,nil
,,,24527,"Mazda-3-SKY-G-150PS-ACC-MatrixLED-18""-360View-Navi-SHZ",,,,,,,,3 Monate,,1000 km,,,ADA,0,,0,deny,manual,728,,FALSCH,WAHR
,,,24399,"Mazda-3-SKY-G-150PS-ACC-MatrixLED-18""-360View-Navi-SHZ",,,,,,,,3 Monate,,1500 km,,,ADA,0,,0,deny,manual,775,,FALSCH,WAHR
,,,24271,"Mazda-3-SKY-G-150PS-ACC-MatrixLED-18""-360View-Navi-SHZ",,,,,,,,3 Monate,,2000 km,,,ADA,0,,0,deny,manual,822,,FALSCH,WAHR
,,,24143,"Mazda-3-SKY-G-150PS-ACC-MatrixLED-18""-360View-Navi-SHZ",,,,,,,,3 Monate,,2500 km,,,ADA,0,,0,deny,manual,869,,FALSCH,WAHR
,,,24376,"Mazda-3-SKY-G-150PS-ACC-MatrixLED-18""-360View-Navi-SHZ",,,,,,,,4 Monate,,500 km,,,ADA,0,,0,deny,manual,661,,FALSCH,WAHR
,,,24206,"Mazda-3-SKY-G-150PS-ACC-MatrixLED-18""-360View-Navi-SHZ",,,,,,,,4 Monate,,1000 km,,,ADA,0,,0,deny,manual,708,,FALSCH,WAHR
,,,24035,"Mazda-3-SKY-G-150PS-ACC-MatrixLED-18""-360View-Navi-SHZ",,,,,,,,4 Monate,,1500 km,,,ADA,0,,0,deny,manual,755,,FALSCH,WAHR
,,,23865,"Mazda-3-SKY-G-150PS-ACC-MatrixLED-18""-360View-Navi-SHZ",,,,,,,,4 Monate,,2000 km,,,ADA,0,,0,deny,manual,802,,FALSCH,WAHR
,,,23694,"Mazda-3-SKY-G-150PS-ACC-MatrixLED-18""-360View-Navi-SHZ",,,,,,,,4 Monate,,2500 km,,,ADA,0,,0,deny,manual,849,,FALSCH,WAHR
,,,24098,"Mazda-3-SKY-G-150PS-ACC-MatrixLED-18""-360View-Navi-SHZ",,,,,,,,5 Monate,,500 km,,,ADA,0,,0,deny,manual,649,,FALSCH,WAHR
,,,23885,"Mazda-3-SKY-G-150PS-ACC-MatrixLED-18""-360View-Navi-SHZ",,,,,,,,5 Monate,,1000 km,,,ADA,0,,0,deny,manual,696,,FALSCH,WAHR
,,,23672,"Mazda-3-SKY-G-150PS-ACC-MatrixLED-18""-360View-Navi-SHZ",,,,,,,,5 Monate,,1500 km,,,ADA,0,,0,deny,manual,743,,FALSCH,WAHR
