Dealer name,Dealer adress,Purchase price,Reselling price,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Autocenter Koch GmbH,"Huttenstraße 50
10553 Berlin
Autocenter Koch GmbH,"Huttenstraße 50
10553 Berlin
Deutschland",16780,16109,Volvo-V40-T2-Automatik-Linje-You!-Navi-Bi-Xenon-Kamera,Volvo V40 T2 Automatik Linje You! Navi Bi-Xenon Kamera,"<p>
<strong>Abholadresse</strong>
Huttenstraße 50
10553 Berlin
Deutschland<br>
<strong>Fahrzeugzustand</strong>
Unfallfrei<br>
<strong>Kategorie</strong>
Limousine, Vorführfahrzeug<br>
<strong>Herkunft</strong>
Deutsche Ausführung<br>
<strong>Kilometerstand</strong>
40.999 km<br>
<strong>Hubraum</strong>
1.498 cm³<br>
<strong>Leistung</strong>
90 kW (122 PS)<br>
<strong>Kraftstoffart</strong>
Benzin<br>
<strong>Verbrauch</strong><br>
5,5 l/100km (kombiniert)<br>*
7,3 l/100km (innerorts)<br>*
4,5 l/100km (außerorts)<br>*
<strong>CO2-Emission</strong>
129 g/km (kombiniert)*<br>
<strong>Anzahl der Türen</strong>
4/5<br>
<strong>Anzahl Sitzplätze</strong>
5<br>
<strong>Getriebe</strong>
Automatik<br>
<strong>Schadstoffklasse</strong>
Euro6<br>
<strong>Umweltplakette</strong>
4 (Grün)<br>
<strong>Erstzulassung</strong>
04/2016<br>
<strong>Anzahl der Fahrzeughalter</strong>
1<br>
<strong>HU</strong>
Neu<br>
<strong>Klimatisierung</strong>
2-Zonen-Klimaautomatik<br>
<strong>Farbe (Hersteller)</strong>
Osmium-Grau 714<br>
<strong>Farbe</strong>
Grau Metallic<br>
<strong>Innenausstattung</strong>
Stoff, Andere<br>
<strong>Weitere Eigenschaften</strong><br>
ABS, Adaptives Kurvenlicht, Ambiente-Beleuchtung, Armlehne, Beheizbare Frontscheibe, Bi-Xenon Scheinwerfer, Bluetooth, Bordcomputer, CD-Spieler, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, ESP, Freisprecheinrichtung, Garantie, Geschwindigkeitsbegrenzer, Innenspiegel autom. abblendend, Isofix, LED-Tagfahrlicht, Leichtmetallfelgen, Lichtsensor, Lordosenstütze, Multifunktionslenkrad, Musikstreaming integriert, Navigationssystem, Nichtraucher-Fahrzeug, Regensensor, Reifendruckkontrolle, Scheckheftgepflegt, Scheinwerferreinigung, Servolenkung, Sitzheizung, Sommerreifen, Sprachsteuerung, Start/Stopp-Automatik, Tempomat, Traktionskontrolle, Tuner/Radio, Umklappbarer Beifahrersitz, USB, Volldigitales Kombiinstrument, Zentralverriegelung
</p>",Volvo,,"Marke_Volvo, Typ_Limousine, Alter_maximal 5 Jahre,Alter_Alle, Kilometerstand_maximal 50.000 km,Kilometerstand_maximal 80.000 km,Kilometerstand_maximal 100.000 km, Leistung_100 bis 150 PS,Leistung_Alle, Schaltung_Automatik, Farbe_Grau, Kraftstoff_Benzin, Zustand_Gebraucht, Preis_Premium (ab 400 €)",WAHR,Deine Abo Dauer,3 Monate,Dein monatliches Kilometerpaket,500 km,,,ADA,0,,0,deny,manual,522,,FALSCH,WAHR,,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/zEUAAOSwVIVfRUYT/$_27.JPG,1,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/n~oAAOSwU~9fRUYU/$_27.JPG,2,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/f~UAAOSwn01fRUYU/$_27.JPG,3,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/1lsAAOSwJCFfRUYT/$_27.JPG,4,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/Xp8AAOSwNEhfRUYT/$_27.JPG,5,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/ACMAAOSwyG1fRUYU/$_27.JPG,6,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/PNwAAOSwYSZfRUYT/$_27.JPG,7,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/hVcAAOSwbyVfRUYT/$_27.JPG,8,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/D0sAAOSwqSBfRUYT/$_27.JPG,9,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/yR8AAOSwhXBfRUYV/$_27.JPG,10,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/zGQAAOSwz~ZfRUYS/$_27.JPG,11,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/mjYAAOSwL8RfRUYT/$_27.JPG,12,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/EJgAAOSwns5fRUYT/$_27.JPG,13,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/I78AAOSwFBlfRUYT/$_27.JPG,14,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/~csAAOSwM8xfRUYT/$_27.JPG,15,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/zEUAAOSwVIVfRUYT/$_27.JPG,16,,,,,,,,,,,nil
,,,16025,Volvo-V40-T2-Automatik-Linje-You!-Navi-Bi-Xenon-Kamera,,,,,,,,3 Monate,,1000 km,,,ADA,0,,0,deny,manual,553,,FALSCH,WAHR
,,,15941,Volvo-V40-T2-Automatik-Linje-You!-Navi-Bi-Xenon-Kamera,,,,,,,,3 Monate,,1500 km,,,ADA,0,,0,deny,manual,584,,FALSCH,WAHR
,,,15857,Volvo-V40-T2-Automatik-Linje-You!-Navi-Bi-Xenon-Kamera,,,,,,,,3 Monate,,2000 km,,,ADA,0,,0,deny,manual,615,,FALSCH,WAHR
,,,15774,Volvo-V40-T2-Automatik-Linje-You!-Navi-Bi-Xenon-Kamera,,,,,,,,3 Monate,,2500 km,,,ADA,0,,0,deny,manual,646,,FALSCH,WAHR
,,,15919,Volvo-V40-T2-Automatik-Linje-You!-Navi-Bi-Xenon-Kamera,,,,,,,,4 Monate,,500 km,,,ADA,0,,0,deny,manual,502,,FALSCH,WAHR
,,,15807,Volvo-V40-T2-Automatik-Linje-You!-Navi-Bi-Xenon-Kamera,,,,,,,,4 Monate,,1000 km,,,ADA,0,,0,deny,manual,533,,FALSCH,WAHR
,,,15695,Volvo-V40-T2-Automatik-Linje-You!-Navi-Bi-Xenon-Kamera,,,,,,,,4 Monate,,1500 km,,,ADA,0,,0,deny,manual,564,,FALSCH,WAHR
,,,15583,Volvo-V40-T2-Automatik-Linje-You!-Navi-Bi-Xenon-Kamera,,,,,,,,4 Monate,,2000 km,,,ADA,0,,0,deny,manual,595,,FALSCH,WAHR
,,,15471,Volvo-V40-T2-Automatik-Linje-You!-Navi-Bi-Xenon-Kamera,,,,,,,,4 Monate,,2500 km,,,ADA,0,,0,deny,manual,626,,FALSCH,WAHR
,,,15729,Volvo-V40-T2-Automatik-Linje-You!-Navi-Bi-Xenon-Kamera,,,,,,,,5 Monate,,500 km,,,ADA,0,,0,deny,manual,491,,FALSCH,WAHR
,,,15589,Volvo-V40-T2-Automatik-Linje-You!-Navi-Bi-Xenon-Kamera,,,,,,,,5 Monate,,1000 km,,,ADA,0,,0,deny,manual,521,,FALSCH,WAHR
,,,15449,Volvo-V40-T2-Automatik-Linje-You!-Navi-Bi-Xenon-Kamera,,,,,,,,5 Monate,,1500 km,,,ADA,0,,0,deny,manual,552,,FALSCH,WAHR
,,,15309,Volvo-V40-T2-Automatik-Linje-You!-Navi-Bi-Xenon-Kamera,,,,,,,,5 Monate,,2000 km,,,ADA,0,,0,deny,manual,583,,FALSCH,WAHR
