Dealer name,Dealer adress,Purchase price,Reselling price,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
ASP Autosalon Berlin GmbH,"Brunsbütteler Damm 102
13581 Berlin
ASP Autosalon Berlin GmbH,"Brunsbütteler Damm 102
13581 Berlin
Deutschland",28400,27381,Audi-A6-1.8-TFSI-Avant-ultra-S-LINE-PANORAMA-KAMERA-D,Audi A6 1.8 TFSI Avant ultra S LINE PANORAMA KAMERA D,"<p>
<strong>Abholadresse</strong>
Brunsbütteler Damm 102
13581 Berlin
Deutschland<br>
<strong>Fahrzeugzustand</strong>
Unfallfrei<br>
<strong>Kategorie</strong>
Kombi<br>
<strong>Herkunft</strong>
<br>
<strong>Kilometerstand</strong>
36.400 km<br>
<strong>Hubraum</strong>
1.798 cm³<br>
<strong>Leistung</strong>
140 kW (190 PS)<br>
<strong>Kraftstoffart</strong>
Benzin<br>
<strong>Verbrauch</strong><br>
ca. 5,9 l/100km (kombiniert)<br>
ca. 7,1 l/100km (innerorts)<br>
ca. 5,1 l/100km (außerorts)<br>
<strong>CO2-Emission</strong>
ca. 137 g/km (kombiniert)<br>
<strong>Anzahl der Türen</strong>
4/5<br>
<strong>Anzahl Sitzplätze</strong>
5<br>
<strong>Getriebe</strong>
Automatik<br>
<strong>Schadstoffklasse</strong>
Euro6<br>
<strong>Umweltplakette</strong>
4 (Grün)<br>
<strong>Erstzulassung</strong>
04/2016<br>
<strong>Anzahl der Fahrzeughalter</strong>
1<br>
<strong>HU</strong>
Neu<br>
<strong>Klimatisierung</strong>
4-Zonen-Klimaautomatik<br>
<strong>Farbe (Hersteller)</strong>
Havannaschwarz<br>
<strong>Farbe</strong>
Schwarz Metallic<br>
<strong>Innenausstattung</strong>
Stoff, Schwarz<br>
<strong>Weitere Eigenschaften</strong><br>
ABS, Abstandswarner, Alarmanlage, Ambiente-Beleuchtung, Armlehne, Berganfahrassistent, Bluetooth, Bordcomputer, CD-Spieler, Dachreling, Elektr. Fensterheber, Elektr. Heckklappe, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, ESP, Fernlichtassistent, Freisprecheinrichtung, Garantie, Gepäckraumabtrennung, Geschwindigkeitsbegrenzer, Innenspiegel autom. abblendend, Isofix, Isofix Beifahrersitz, Kurvenlicht, Lederlenkrad, LED-Tagfahrlicht, Leichtmetallfelgen, Lichtsensor, Lordosenstütze, Luftfederung, Multifunktionslenkrad, Musikstreaming integriert, Navigationssystem, Nebelscheinwerfer, Nichtraucher-Fahrzeug, Notbremsassistent, Panorama-Dach, Regensensor, Reifendruckkontrolle, Scheckheftgepflegt, Scheinwerferreinigung, Schiebedach, Servolenkung, Sitzheizung, Soundsystem, Sportfahrwerk, Sportpaket, Sprachsteuerung, Start/Stopp-Automatik, Tempomat, Touchscreen, Traktionskontrolle, Tuner/Radio, USB, Xenonscheinwerfer, Zentralverriegelung
</p>",Audi,,"Marke_Audi, Typ_Kombi, Alter_maximal 5 Jahre,Alter_Alle, Kilometerstand_maximal 50.000 km,Kilometerstand_maximal 80.000 km,Kilometerstand_maximal 100.000 km, Leistung_150 bis 200 PS,Leistung_Alle, Schaltung_Automatik, Farbe_Schwarz, Kraftstoff_Benzin, Zustand_Gebraucht, Preis_Premium (ab 400 €)",WAHR,Deine Abo Dauer,3 Monate,Dein monatliches Kilometerpaket,500 km,,,ADA,0,,0,deny,manual,760,,FALSCH,WAHR,,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/QQ0AAOSwatddQbfR/$_27.JPG,1,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/RmUAAOSwJrpdQbfR/$_27.JPG,2,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/SFsAAOSwBbBdQbfR/$_27.JPG,3,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/xpYAAOSw8PRdQbfR/$_27.JPG,4,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/qZIAAOSw09ZdQbfR/$_27.JPG,5,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/Mi8AAOSwxWxdQbfR/$_27.JPG,6,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/YZYAAOSwYThdQbfR/$_27.JPG,7,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/tJAAAOSwFTVdQbfR/$_27.JPG,8,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/FAIAAOSwTaFdQbfR/$_27.JPG,9,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/FPoAAOSwd3pdQbfR/$_27.JPG,10,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/g78AAOSww7ddQbfR/$_27.JPG,11,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/dgkAAOSwiG1dQbfR/$_27.JPG,12,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/Hm0AAOSwK39dQbfR/$_27.JPG,13,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/v7EAAOSwJcddQbfR/$_27.JPG,14,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/T2oAAOSwS~ldQbfR/$_27.JPG,15,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/QQ0AAOSwatddQbfR/$_27.JPG,16,,,,,,,,,,,nil
,,,27239,Audi-A6-1.8-TFSI-Avant-ultra-S-LINE-PANORAMA-KAMERA-D,,,,,,,,3 Monate,,1000 km,,,ADA,0,,0,deny,manual,812,,FALSCH,WAHR
,,,27097,Audi-A6-1.8-TFSI-Avant-ultra-S-LINE-PANORAMA-KAMERA-D,,,,,,,,3 Monate,,1500 km,,,ADA,0,,0,deny,manual,865,,FALSCH,WAHR
,,,26955,Audi-A6-1.8-TFSI-Avant-ultra-S-LINE-PANORAMA-KAMERA-D,,,,,,,,3 Monate,,2000 km,,,ADA,0,,0,deny,manual,917,,FALSCH,WAHR
,,,26813,Audi-A6-1.8-TFSI-Avant-ultra-S-LINE-PANORAMA-KAMERA-D,,,,,,,,3 Monate,,2500 km,,,ADA,0,,0,deny,manual,969,,FALSCH,WAHR
,,,27074,Audi-A6-1.8-TFSI-Avant-ultra-S-LINE-PANORAMA-KAMERA-D,,,,,,,,4 Monate,,500 km,,,ADA,0,,0,deny,manual,740,,FALSCH,WAHR
,,,26885,Audi-A6-1.8-TFSI-Avant-ultra-S-LINE-PANORAMA-KAMERA-D,,,,,,,,4 Monate,,1000 km,,,ADA,0,,0,deny,manual,792,,FALSCH,WAHR
,,,26695,Audi-A6-1.8-TFSI-Avant-ultra-S-LINE-PANORAMA-KAMERA-D,,,,,,,,4 Monate,,1500 km,,,ADA,0,,0,deny,manual,845,,FALSCH,WAHR
,,,26506,Audi-A6-1.8-TFSI-Avant-ultra-S-LINE-PANORAMA-KAMERA-D,,,,,,,,4 Monate,,2000 km,,,ADA,0,,0,deny,manual,897,,FALSCH,WAHR
,,,26317,Audi-A6-1.8-TFSI-Avant-ultra-S-LINE-PANORAMA-KAMERA-D,,,,,,,,4 Monate,,2500 km,,,ADA,0,,0,deny,manual,949,,FALSCH,WAHR
,,,26768,Audi-A6-1.8-TFSI-Avant-ultra-S-LINE-PANORAMA-KAMERA-D,,,,,,,,5 Monate,,500 km,,,ADA,0,,0,deny,manual,728,,FALSCH,WAHR
