Dealer name,Dealer adress,Purchase price,Reselling price,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Autohaus Dallgow GmbH,"Wilmsstrasse 120
14624 Dallgow-Döberitz
,,,18277,Audi-A3-Sportback-1.0-TFSI---Xenon---Navi---PDCv-h---,,,,,,,,12 Monate,,500 km,,,ADA,0,,0,deny,manual,538,,FALSCH,WAHR
,,,17853,Audi-A3-Sportback-1.0-TFSI---Xenon---Navi---PDCv-h---,,,,,,,,12 Monate,,1000 km,,,ADA,0,,0,deny,manual,577,,FALSCH,WAHR
,,,17430,Audi-A3-Sportback-1.0-TFSI---Xenon---Navi---PDCv-h---,,,,,,,,12 Monate,,1500 km,,,ADA,0,,0,deny,manual,616,,FALSCH,WAHR
,,,17006,Audi-A3-Sportback-1.0-TFSI---Xenon---Navi---PDCv-h---,,,,,,,,12 Monate,,2000 km,,,ADA,0,,0,deny,manual,655,,FALSCH,WAHR
,,,16582,Audi-A3-Sportback-1.0-TFSI---Xenon---Navi---PDCv-h---,,,,,,,,12 Monate,,2500 km,,,ADA,0,,0,deny,manual,694,,FALSCH,WAHR
Autohaus Dallgow GmbH,"Wilmsstrasse 120
14624 Dallgow-Döberitz
Deutschland",24590,23685,Audi-A3-Sportback-Sport-1.6-TDI-mit-LED---NAVI--Klima,Audi A3 Sportback Sport 1.6 TDI mit LED   NAVI  Klima,"<p>
<strong>Abholadresse</strong>
Wilmsstrasse 120
14624 Dallgow-Döberitz
Deutschland<br>
<strong>Fahrzeugzustand</strong>
<br>
<strong>Kategorie</strong>
Limousine, Vorführfahrzeug<br>
<strong>Herkunft</strong>
<br>
<strong>Kilometerstand</strong>
3.000 km<br>
<strong>Hubraum</strong>
1.598 cm³<br>
<strong>Leistung</strong>
85 kW (116 PS)<br>
<strong>Kraftstoffart</strong>
Diesel<br>
<strong>Verbrauch</strong><br>
4,2 l/100km (kombiniert)<br>*
4,7 l/100km (innerorts)<br>*
3,9 l/100km (außerorts)<br>*
<strong>CO2-Emission</strong>
111 g/km (kombiniert)*<br>
<strong>Anzahl der Türen</strong>
4/5<br>
<strong>Anzahl Sitzplätze</strong>
5<br>
<strong>Getriebe</strong>
Schaltgetriebe<br>
<strong>Schadstoffklasse</strong>
Euro6<br>
<strong>Umweltplakette</strong>
4 (Grün)<br>
<strong>Erstzulassung</strong>
03/2019<br>
<strong>Anzahl der Fahrzeughalter</strong>
1<br>
<strong>HU</strong>
Neu<br>
<strong>Klimatisierung</strong>
Klimaautomatik<br>
<strong>Farbe (Hersteller)</strong>
Arablau Kristalleffekt<br>
<strong>Farbe</strong>
Blau<br>
<strong>Innenausstattung</strong>
Stoff, Schwarz<br>
<strong>Weitere Eigenschaften</strong><br>
ABS, Armlehne, Berganfahrassistent, Bluetooth, Bordcomputer, CD-Spieler, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, ESP, Freisprecheinrichtung, Garantie, Geschwindigkeitsbegrenzer, Innenspiegel autom. abblendend, Isofix, Kurvenlicht, Lederlenkrad, LED-Scheinwerfer, LED-Tagfahrlicht, Leichtmetallfelgen, Lichtsensor, Multifunktionslenkrad, Musikstreaming integriert, Navigationssystem, Nichtraucher-Fahrzeug, Pannenkit, Partikelfilter, Regensensor, Reifendruckkontrolle, Scheckheftgepflegt, Scheinwerferreinigung, Schlüssellose Zentralverriegelung, Servolenkung, Soundsystem, Sportfahrwerk, Sportsitze, Sprachsteuerung, Start/Stopp-Automatik, Tempomat, Traktionskontrolle, Tuner/Radio, USB, Zentralverriegelung
</p>",Audi,,"Marke_Audi, Typ_Limousine, Alter_maximal 2 Jahre,Alter_maximal 5 Jahre,Alter_Alle, Kilometerstand_maximal 20.000 km,Kilometerstand_maximal 50.000 km,Kilometerstand_maximal 80.000 km,Kilometerstand_maximal 100.000 km, Leistung_100 bis 150 PS,Leistung_Alle, Schaltung_Schaltgetriebe, Farbe_Blau, Kraftstoff_Diesel, Zustand_Gebraucht, Preis_Premium (ab 400 €)",WAHR,Deine Abo Dauer,3 Monate,Dein monatliches Kilometerpaket,500 km,,,ADA,0,,0,deny,manual,659,,FALSCH,WAHR,,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/S5kAAOSwBO9eT~mX/$_27.JPG,1,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/xLUAAOSwd9heT~mZ/$_27.JPG,2,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/~9QAAOSwrGteT~mZ/$_27.JPG,3,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/ThYAAOSwFQVeT~mZ/$_27.JPG,4,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/o8cAAOSwR8heT~mZ/$_27.JPG,5,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/6FcAAOSwzG9eT~mY/$_27.JPG,6,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/mFkAAOSwSMZeT~mZ/$_27.JPG,7,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/3DEAAOSw4qNeT~mY/$_27.JPG,8,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/pJoAAOSw1kxeT~mX/$_27.JPG,9,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/C2AAAOSwAmleT~mV/$_27.JPG,10,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/oRgAAOSwROleT~mY/$_27.JPG,11,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/WVwAAOSwEnBeT~mZ/$_27.JPG,12,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/5JMAAOSwSdleT~mX/$_27.JPG,13,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/dzUAAOSwaBJeT~mZ/$_27.JPG,14,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/HaQAAOSwcB1eT~mY/$_27.JPG,15,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/SE0AAOSwA-VeT~mY/$_27.JPG,16,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/y9QAAOSwiCFeT~mY/$_27.JPG,17,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/ZXUAAOSwm8ZeT~mY/$_27.JPG,18,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/xxMAAOSw7TReT~mZ/$_27.JPG,19,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/vLgAAOSwX0heT~mV/$_27.JPG,20,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/S5kAAOSwBO9eT~mX/$_27.JPG,21,nil
,,,23562,Audi-A3-Sportback-Sport-1.6-TDI-mit-LED---NAVI--Klima,,,,,,,,3 Monate,,1000 km,,,ADA,0,,0,deny,manual,705,,FALSCH,WAHR
,,,23439,Audi-A3-Sportback-Sport-1.6-TDI-mit-LED---NAVI--Klima,,,,,,,,3 Monate,,1500 km,,,ADA,0,,0,deny,manual,750,,FALSCH,WAHR
,,,23316,Audi-A3-Sportback-Sport-1.6-TDI-mit-LED---NAVI--Klima,,,,,,,,3 Monate,,2000 km,,,ADA,0,,0,deny,manual,795,,FALSCH,WAHR
,,,23193,Audi-A3-Sportback-Sport-1.6-TDI-mit-LED---NAVI--Klima,,,,,,,,3 Monate,,2500 km,,,ADA,0,,0,deny,manual,840,,FALSCH,WAHR
,,,23416,Audi-A3-Sportback-Sport-1.6-TDI-mit-LED---NAVI--Klima,,,,,,,,4 Monate,,500 km,,,ADA,0,,0,deny,manual,640,,FALSCH,WAHR
,,,23252,Audi-A3-Sportback-Sport-1.6-TDI-mit-LED---NAVI--Klima,,,,,,,,4 Monate,,1000 km,,,ADA,0,,0,deny,manual,685,,FALSCH,WAHR
,,,23089,Audi-A3-Sportback-Sport-1.6-TDI-mit-LED---NAVI--Klima,,,,,,,,4 Monate,,1500 km,,,ADA,0,,0,deny,manual,730,,FALSCH,WAHR
,,,22925,Audi-A3-Sportback-Sport-1.6-TDI-mit-LED---NAVI--Klima,,,,,,,,4 Monate,,2000 km,,,ADA,0,,0,deny,manual,775,,FALSCH,WAHR
,,,22761,Audi-A3-Sportback-Sport-1.6-TDI-mit-LED---NAVI--Klima,,,,,,,,4 Monate,,2500 km,,,ADA,0,,0,deny,manual,821,,FALSCH,WAHR
,,,23148,Audi-A3-Sportback-Sport-1.6-TDI-mit-LED---NAVI--Klima,,,,,,,,5 Monate,,500 km,,,ADA,0,,0,deny,manual,628,,FALSCH,WAHR
,,,22943,Audi-A3-Sportback-Sport-1.6-TDI-mit-LED---NAVI--Klima,,,,,,,,5 Monate,,1000 km,,,ADA,0,,0,deny,manual,673,,FALSCH,WAHR
