Dealer name,Dealer adress,Purchase price,Reselling price,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Autoforum Koch GmbH,"Marzahner Chaussee 219
12681 Berlin
Autoforum Koch GmbH,"Marzahner Chaussee 219
12681 Berlin
Deutschland",14700,14092,Skoda-Fabia-1-0-TSI-Style-LED-ACC-Klimaaut-SHZ-PDC-top,Skoda Fabia 1 0 TSI Style LED ACC Klimaaut SHZ PDC top,"<p>
<strong>Abholadresse</strong>
Marzahner Chaussee 219
12681 Berlin
Deutschland<br>
<strong>Fahrzeugzustand</strong>
Unfallfrei<br>
<strong>Kategorie</strong>
Kleinwagen<br>
<strong>Herkunft</strong>
EU-Ausführung<br>
<strong>Kilometerstand</strong>
20.000 km<br>
<strong>Hubraum</strong>
999 cm³<br>
<strong>Leistung</strong>
70 kW (95 PS)<br>
<strong>Kraftstoffart</strong>
Benzin<br>
<strong>Verbrauch</strong><br>
ca. 4,6 l/100km (kombiniert)<br>
ca. 5,5 l/100km (innerorts)<br>
ca. 4,1 l/100km (außerorts)<br>
<strong>CO2-Emission</strong>
ca. 125 g/km (kombiniert)<br>
<strong>Anzahl der Türen</strong>
4/5<br>
<strong>Anzahl Sitzplätze</strong>
5<br>
<strong>Getriebe</strong>
Schaltgetriebe<br>
<strong>Schadstoffklasse</strong>
Euro6d-TEMP<br>
<strong>Umweltplakette</strong>
4 (Grün)<br>
<strong>Erstzulassung</strong>
11/2018<br>
<strong>Anzahl der Fahrzeughalter</strong>
1<br>
<strong>HU</strong>
Neu<br>
<strong>Klimatisierung</strong>
Klimaautomatik<br>
<strong>Farbe (Hersteller)</strong>
Race-Blau<br>
<strong>Farbe</strong>
Blau Metallic<br>
<strong>Innenausstattung</strong>
Alcantara, Schwarz<br>
<strong>Weitere Eigenschaften</strong><br>
ABS, Abstandstempomat, Abstandswarner, Android Auto, Apple CarPlay, Armlehne, Berganfahrassistent, Bluetooth, Bordcomputer, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, ESP, Fernlichtassistent, Freisprecheinrichtung, Garantie, Innenspiegel autom. abblendend, Isofix, Kurvenlicht, Lederlenkrad, LED-Scheinwerfer, LED-Tagfahrlicht, Leichtmetallfelgen, Lichtsensor, Müdigkeitswarner, Multifunktionslenkrad, Musikstreaming integriert, Nebelscheinwerfer, Nichtraucher-Fahrzeug, Partikelfilter, Radio DAB, Regensensor, Reifendruckkontrolle, Reserverad, Scheckheftgepflegt, Scheinwerferreinigung, Schlüssellose Zentralverriegelung, Servolenkung, Sitzheizung, Soundsystem, Start/Stopp-Automatik, Totwinkel-Assistent, Touchscreen, Traktionskontrolle, Tuner/Radio, USB, Zentralverriegelung
</p>",Skoda,,"Marke_Skoda, Typ_Kleinwagen, Alter_maximal 2 Jahre,Alter_maximal 5 Jahre,Alter_Alle, Kilometerstand_maximal 50.000 km,Kilometerstand_maximal 80.000 km,Kilometerstand_maximal 100.000 km, Leistung_70 bis 100 PS,Leistung_Alle, Schaltung_Schaltgetriebe, Farbe_Blau, Kraftstoff_Benzin, Zustand_Gebraucht, Preis_Premium (ab 400 €)",WAHR,Deine Abo Dauer,3 Monate,Dein monatliches Kilometerpaket,500 km,,,ADA,0,,0,deny,manual,486,,FALSCH,WAHR,,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/QlkAAOSwRcBe~hYN/$_27.JPG,1,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/LN0AAOSwxYte~hYN/$_27.JPG,2,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/4SQAAOSw8Xhe~hYN/$_27.JPG,3,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/jLwAAOSwAIde~hYN/$_27.JPG,4,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/A4kAAOSwnyFe~hYN/$_27.JPG,5,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/d7cAAOSwDaVe~hYN/$_27.JPG,6,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/8sEAAOSwuFJe~hYN/$_27.JPG,7,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/IVQAAOSwfkVe~hYN/$_27.JPG,8,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/Tl0AAOSwv4Je~hYM/$_27.JPG,9,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/4SUAAOSw8Xhe~hYN/$_27.JPG,10,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/NO8AAOSwYFRe~hYN/$_27.JPG,11,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/ecwAAOSw8cNe~hYN/$_27.JPG,12,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/pEgAAOSw-pBe~hYN/$_27.JPG,13,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/RLYAAOSwmXJe~hYN/$_27.JPG,14,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/m~sAAOSwWBRe~hYN/$_27.JPG,15,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/QlkAAOSwRcBe~hYN/$_27.JPG,16,,,,,,,,,,,nil
,,,14018,Skoda-Fabia-1-0-TSI-Style-LED-ACC-Klimaaut-SHZ-PDC-top,,,,,,,,3 Monate,,1000 km,,,ADA,0,,0,deny,manual,513,,FALSCH,WAHR
,,,13945,Skoda-Fabia-1-0-TSI-Style-LED-ACC-Klimaaut-SHZ-PDC-top,,,,,,,,3 Monate,,1500 km,,,ADA,0,,0,deny,manual,540,,FALSCH,WAHR
,,,13871,Skoda-Fabia-1-0-TSI-Style-LED-ACC-Klimaaut-SHZ-PDC-top,,,,,,,,3 Monate,,2000 km,,,ADA,0,,0,deny,manual,568,,FALSCH,WAHR
,,,13798,Skoda-Fabia-1-0-TSI-Style-LED-ACC-Klimaaut-SHZ-PDC-top,,,,,,,,3 Monate,,2500 km,,,ADA,0,,0,deny,manual,595,,FALSCH,WAHR
,,,13922,Skoda-Fabia-1-0-TSI-Style-LED-ACC-Klimaaut-SHZ-PDC-top,,,,,,,,4 Monate,,500 km,,,ADA,0,,0,deny,manual,466,,FALSCH,WAHR
,,,13824,Skoda-Fabia-1-0-TSI-Style-LED-ACC-Klimaaut-SHZ-PDC-top,,,,,,,,4 Monate,,1000 km,,,ADA,0,,0,deny,manual,494,,FALSCH,WAHR
,,,13726,Skoda-Fabia-1-0-TSI-Style-LED-ACC-Klimaaut-SHZ-PDC-top,,,,,,,,4 Monate,,1500 km,,,ADA,0,,0,deny,manual,521,,FALSCH,WAHR
,,,13628,Skoda-Fabia-1-0-TSI-Style-LED-ACC-Klimaaut-SHZ-PDC-top,,,,,,,,4 Monate,,2000 km,,,ADA,0,,0,deny,manual,548,,FALSCH,WAHR
,,,13530,Skoda-Fabia-1-0-TSI-Style-LED-ACC-Klimaaut-SHZ-PDC-top,,,,,,,,4 Monate,,2500 km,,,ADA,0,,0,deny,manual,575,,FALSCH,WAHR
