Dealer name,Dealer adress,Purchase price,Reselling price,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Autohaus Körner GmbH,"Walsheimer Str. 2 - 24
12683 Berlin
Autohaus Körner GmbH,"Walsheimer Str. 2 - 24
12683 Berlin
Deutschland",17800,17099,Hyundai-IONIQ-Premium--NAVI-LEDER-XENON-BT-SOUNDSYSTEM-,Hyundai IONIQ Premium  NAVI LEDER XENON BT SOUNDSYSTEM ,"<p>
<strong>Abholadresse</strong>
Walsheimer Str. 2 - 24
12683 Berlin
Deutschland<br>
<strong>Fahrzeugzustand</strong>
<br>
<strong>Kategorie</strong>
Limousine<br>
<strong>Herkunft</strong>
Deutsche Ausführung<br>
<strong>Kilometerstand</strong>
51.012 km<br>
<strong>Hubraum</strong>
1.580 cm³<br>
<strong>Leistung</strong>
104 kW (141 PS)<br>
<strong>Kraftstoffart</strong>
Benzin<br>
<strong>Verbrauch</strong><br>
ca. 4,2 l/100km (kombiniert)<br>
ca. 3,9 l/100km (innerorts)<br>
ca. 3,9 l/100km (außerorts)<br>
<strong>CO2-Emission</strong>
ca. 92 g/km (kombiniert)<br>
<strong>Anzahl der Türen</strong>
4/5<br>
<strong>Anzahl Sitzplätze</strong>
5<br>
<strong>Getriebe</strong>
Automatik<br>
<strong>Schadstoffklasse</strong>
Euro6<br>
<strong>Umweltplakette</strong>
4 (Grün)<br>
<strong>Erstzulassung</strong>
06/2016<br>
<strong>Anzahl der Fahrzeughalter</strong>
1<br>
<strong>HU</strong>
Neu<br>
<strong>Klimatisierung</strong>
2-Zonen-Klimaautomatik<br>
<strong>Farbe (Hersteller)</strong>
Iron Gray / MIC<br>
<strong>Farbe</strong>
Grau Metallic<br>
<strong>Innenausstattung</strong>
Vollleder, Grau<br>
<strong>Weitere Eigenschaften</strong><br>
ABS, Abstandstempomat, Abstandswarner, Alarmanlage, Android Auto, Apple CarPlay, Armlehne, Beheizbares Lenkrad, Berganfahrassistent, Bi-Xenon Scheinwerfer, Bluetooth, Bordcomputer, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Sitzeinstellung, Elektr. Wegfahrsperre, ESP, Freisprecheinrichtung, Garantie, Gepäckraumabtrennung, Geschwindigkeitsbegrenzer, Induktionsladen für Smartphones, Innenspiegel autom. abblendend, Isofix, Lederlenkrad, LED-Tagfahrlicht, Leichtmetallfelgen, Lichtsensor, Lordosenstütze, Müdigkeitswarner, Multifunktionslenkrad, Navigationssystem, Nichtraucher-Fahrzeug, Notbremsassistent, Pannenkit, Radio DAB, Regensensor, Reifendruckkontrolle, Schlüssellose Zentralverriegelung, Servolenkung, Sitzbelüftung, Sitzheizung, Sitzheizung hinten, Sommerreifen, Soundsystem, Sprachsteuerung, Spurhalteassistent, Start/Stopp-Automatik, Totwinkel-Assistent, Touchscreen, Tuner/Radio, USB, Zentralverriegelung
</p>",Hyundai,,"Marke_Hyundai, Typ_Limousine, Alter_maximal 5 Jahre,Alter_Alle, Kilometerstand_maximal 80.000 km,Kilometerstand_maximal 100.000 km, Leistung_100 bis 150 PS,Leistung_Alle, Schaltung_Automatik, Farbe_Grau, Kraftstoff_Benzin, Zustand_Gebraucht, Preis_Premium (ab 400 €)",WAHR,Deine Abo Dauer,3 Monate,Dein monatliches Kilometerpaket,500 km,,,ADA,0,,0,deny,manual,547,,FALSCH,WAHR,,https://i.ebayimg.com/00/s/NzY3WDEwMjI=/z/cvgAAOSw~9FenZWD/$_27.JPG,1,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/lPoAAOSwjmhenZWG/$_27.JPG,2,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/StkAAOSweatenZWI/$_27.JPG,3,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/aboAAOSwU8RenZWL/$_27.JPG,4,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/PPYAAOSw9flenZWN/$_27.JPG,5,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/YpYAAOSw5HZenZWQ/$_27.JPG,6,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/dzwAAOSwUAVenZWS/$_27.JPG,7,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/EXMAAOSwcv9enZWU/$_27.JPG,8,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/uOcAAOSws4FenZWX/$_27.JPG,9,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/66gAAOSwJUdenZWZ/$_27.JPG,10,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/3pUAAOSwD39enZWb/$_27.JPG,11,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/dn4AAOSwlplenZWe/$_27.JPG,12,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/ufIAAOSwkA5enZWg/$_27.JPG,13,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/9X8AAOSwxv1enZWi/$_27.JPG,14,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/u-oAAOSwNaxenZWk/$_27.JPG,15,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/mY8AAOSwLLhenZWn/$_27.JPG,16,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/beQAAOSw8PNenZWp/$_27.JPG,17,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/SmIAAOSwkTVenZWs/$_27.JPG,18,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/FkAAAOSwS8BenZWu/$_27.JPG,19,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/dm4AAOSwH5NenZWw/$_27.JPG,20,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/DlAAAOSwq2henZWz/$_27.JPG,21,nil
,,,17010,Hyundai-IONIQ-Premium--NAVI-LEDER-XENON-BT-SOUNDSYSTEM-,,,,,,,,3 Monate,,1000 km,,,ADA,0,,0,deny,manual,580,,FALSCH,WAHR
,,,16921,Hyundai-IONIQ-Premium--NAVI-LEDER-XENON-BT-SOUNDSYSTEM-,,,,,,,,3 Monate,,1500 km,,,ADA,0,,0,deny,manual,613,,FALSCH,WAHR
,,,16832,Hyundai-IONIQ-Premium--NAVI-LEDER-XENON-BT-SOUNDSYSTEM-,,,,,,,,3 Monate,,2000 km,,,ADA,0,,0,deny,manual,646,,FALSCH,WAHR
,,,16743,Hyundai-IONIQ-Premium--NAVI-LEDER-XENON-BT-SOUNDSYSTEM-,,,,,,,,3 Monate,,2500 km,,,ADA,0,,0,deny,manual,678,,FALSCH,WAHR
,,,16898,Hyundai-IONIQ-Premium--NAVI-LEDER-XENON-BT-SOUNDSYSTEM-,,,,,,,,4 Monate,,500 km,,,ADA,0,,0,deny,manual,527,,FALSCH,WAHR
,,,16779,Hyundai-IONIQ-Premium--NAVI-LEDER-XENON-BT-SOUNDSYSTEM-,,,,,,,,4 Monate,,1000 km,,,ADA,0,,0,deny,manual,560,,FALSCH,WAHR
,,,16661,Hyundai-IONIQ-Premium--NAVI-LEDER-XENON-BT-SOUNDSYSTEM-,,,,,,,,4 Monate,,1500 km,,,ADA,0,,0,deny,manual,593,,FALSCH,WAHR
,,,16542,Hyundai-IONIQ-Premium--NAVI-LEDER-XENON-BT-SOUNDSYSTEM-,,,,,,,,4 Monate,,2000 km,,,ADA,0,,0,deny,manual,626,,FALSCH,WAHR
,,,16423,Hyundai-IONIQ-Premium--NAVI-LEDER-XENON-BT-SOUNDSYSTEM-,,,,,,,,4 Monate,,2500 km,,,ADA,0,,0,deny,manual,658,,FALSCH,WAHR
