Dealer name,Dealer adress,Purchase price,Reselling price,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Autohaus Gerhard Kockjoy GmbH,"Potsdamer Straße 51-52
14469 Potsdam
Autohaus Gerhard Kockjoy GmbH,"Potsdamer Straße 51-52
14469 Potsdam
Deutschland",12350,11812,Citroën-C1-VTi-72-S-S-ORIGINS,Citroën C1 VTi 72 S S ORIGINS,"<p>
<strong>Abholadresse</strong>
Potsdamer Straße 51-52
14469 Potsdam
Deutschland<br>
<strong>Fahrzeugzustand</strong>
Unfallfrei<br>
<strong>Kategorie</strong>
Kleinwagen, Vorführfahrzeug<br>
<strong>Herkunft</strong>
Deutsche Ausführung<br>
<strong>Kilometerstand</strong>
1.500 km<br>
<strong>Hubraum</strong>
998 cm³<br>
<strong>Leistung</strong>
53 kW (72 PS)<br>
<strong>Kraftstoffart</strong>
Benzin<br>
<strong>Verbrauch</strong><br>
3,7 l/100km (kombiniert)<br>*
4,3 l/100km (innerorts)<br>*
3,4 l/100km (außerorts)<br>*
<strong>CO2-Emission</strong>
117 g/km (kombiniert)*<br>
<strong>Anzahl der Türen</strong>
4/5<br>
<strong>Anzahl Sitzplätze</strong>
4<br>
<strong>Getriebe</strong>
Schaltgetriebe<br>
<strong>Schadstoffklasse</strong>
Euro6d<br>
<strong>Umweltplakette</strong>
4 (Grün)<br>
<strong>Erstzulassung</strong>
01/2020<br>
<strong>Anzahl der Fahrzeughalter</strong>
1<br>
<strong>HU</strong>
Neu<br>
<strong>Klimatisierung</strong>
Klimaautomatik<br>
<strong>Farbe (Hersteller)</strong>
Caldera-Schwarz Metallic<br>
<strong>Farbe</strong>
Schwarz Metallic<br>
<strong>Innenausstattung</strong>
Vollleder, Schwarz<br>
<strong>Weitere Eigenschaften</strong><br>
ABS, Android Auto, Apple CarPlay, Berganfahrassistent, Bluetooth, Bordcomputer, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, ESP, Freisprecheinrichtung, Garantie, Geschwindigkeitsbegrenzer, Isofix, Lederlenkrad, LED-Tagfahrlicht, Leichtmetallfelgen, Multifunktionslenkrad, Nichtraucher-Fahrzeug, Notrad, Radio DAB, Reifendruckkontrolle, Scheckheftgepflegt, Servolenkung, Sitzheizung, Start/Stopp-Automatik, Touchscreen, Traktionskontrolle, Tuner/Radio, USB, Zentralverriegelung
</p>",Citroën,,"Marke_Citroën, Typ_Kleinwagen, Alter_maximal 2 Jahre,Alter_maximal 5 Jahre,Alter_Alle, Kilometerstand_maximal 20.000 km,Kilometerstand_maximal 50.000 km,Kilometerstand_maximal 80.000 km,Kilometerstand_maximal 100.000 km, Leistung_70 bis 100 PS,Leistung_Alle, Schaltung_Schaltgetriebe, Farbe_Schwarz, Kraftstoff_Benzin, Zustand_Gebraucht, Preis_Mittel (200 bis 400 €)",WAHR,Deine Abo Dauer,3 Monate,Dein monatliches Kilometerpaket,500 km,,,ADA,0,,0,deny,manual,432,,FALSCH,WAHR,,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/aH4AAOSwT7NePY~b/$_27.JPG,1,https://i.ebayimg.com/00/s/MTAyNFg3Njg=/z/QXIAAOSwzkVfR89l/$_27.JPG,2,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/PAcAAOSwndFePY~e/$_27.JPG,3,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/gVAAAOSwKS9ePY~b/$_27.JPG,4,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/dfUAAOSwKKBePY~c/$_27.JPG,5,https://i.ebayimg.com/00/s/MTAyNFg3Njg=/z/ZqwAAOSwvvhfR89l/$_27.JPG,6,https://i.ebayimg.com/00/s/MTAyNFg3Njg=/z/-kgAAOSwlBVfR89k/$_27.JPG,7,https://i.ebayimg.com/00/s/MTAyNFg3Njg=/z/9wgAAOSwf2hfR89k/$_27.JPG,8,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/DoUAAOSw6qRePY~b/$_27.JPG,9,https://i.ebayimg.com/00/s/MTAyNFg3Njg=/z/68AAAOSw1u5fR89k/$_27.JPG,10,https://i.ebayimg.com/00/s/MTAyNFg3Njg=/z/ou4AAOSw1g9fR89k/$_27.JPG,11,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/YpoAAOSwkW5ePY~b/$_27.JPG,12,https://i.ebayimg.com/00/s/MTAyNFg3Njg=/z/jEwAAOSwBy5fR89k/$_27.JPG,13,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/gKEAAOSwZ3tePY~b/$_27.JPG,14,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/yQQAAOSwujhePY~b/$_27.JPG,15,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/RDQAAOSwHX5ePY~c/$_27.JPG,16,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/JYQAAOSwH9JePY~f/$_27.JPG,17,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/zy0AAOSw-ZJePY~d/$_27.JPG,18,https://i.ebayimg.com/00/s/MTAyNFg3Njg=/z/JV8AAOSwMltfR89k/$_27.JPG,19,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/PM8AAOSwSMZePY~d/$_27.JPG,20,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/aH4AAOSwT7NePY~b/$_27.JPG,21
,,,11750,Citroën-C1-VTi-72-S-S-ORIGINS,,,,,,,,3 Monate,,1000 km,,,ADA,0,,0,deny,manual,454,,FALSCH,WAHR
,,,11689,Citroën-C1-VTi-72-S-S-ORIGINS,,,,,,,,3 Monate,,1500 km,,,ADA,0,,0,deny,manual,477,,FALSCH,WAHR
,,,11627,Citroën-C1-VTi-72-S-S-ORIGINS,,,,,,,,3 Monate,,2000 km,,,ADA,0,,0,deny,manual,500,,FALSCH,WAHR
,,,11565,Citroën-C1-VTi-72-S-S-ORIGINS,,,,,,,,3 Monate,,2500 km,,,ADA,0,,0,deny,manual,523,,FALSCH,WAHR
,,,11584,Citroën-C1-VTi-72-S-S-ORIGINS,,,,,,,,4 Monate,,1000 km,,,ADA,0,,0,deny,manual,435,,FALSCH,WAHR
,,,11501,Citroën-C1-VTi-72-S-S-ORIGINS,,,,,,,,4 Monate,,1500 km,,,ADA,0,,0,deny,manual,457,,FALSCH,WAHR
,,,11419,Citroën-C1-VTi-72-S-S-ORIGINS,,,,,,,,4 Monate,,2000 km,,,ADA,0,,0,deny,manual,480,,FALSCH,WAHR
,,,11337,Citroën-C1-VTi-72-S-S-ORIGINS,,,,,,,,4 Monate,,2500 km,,,ADA,0,,0,deny,manual,503,,FALSCH,WAHR
,,,11417,Citroën-C1-VTi-72-S-S-ORIGINS,,,,,,,,5 Monate,,1000 km,,,ADA,0,,0,deny,manual,423,,FALSCH,WAHR
