Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,5 Monate,,500 km,,,ADA,0,,0,deny,manual,225,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,5 Monate,,1000 km,,,ADA,0,,0,deny,manual,234,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,5 Monate,,1500 km,,,ADA,0,,0,deny,manual,243,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,5 Monate,,2000 km,,,ADA,0,,0,deny,manual,251,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,5 Monate,,2500 km,,,ADA,0,,0,deny,manual,260,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,6 Monate,,500 km,,,ADA,0,,0,deny,manual,221,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,6 Monate,,1000 km,,,ADA,0,,0,deny,manual,230,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,6 Monate,,1500 km,,,ADA,0,,0,deny,manual,238,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,6 Monate,,2000 km,,,ADA,0,,0,deny,manual,247,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,6 Monate,,2500 km,,,ADA,0,,0,deny,manual,277,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,7 Monate,,500 km,,,ADA,0,,0,deny,manual,236,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,7 Monate,,1000 km,,,ADA,0,,0,deny,manual,245,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,7 Monate,,1500 km,,,ADA,0,,0,deny,manual,254,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,7 Monate,,2000 km,,,ADA,0,,0,deny,manual,263,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,7 Monate,,2500 km,,,ADA,0,,0,deny,manual,271,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,8 Monate,,500 km,,,ADA,0,,0,deny,manual,232,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,8 Monate,,1000 km,,,ADA,0,,0,deny,manual,240,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,8 Monate,,1500 km,,,ADA,0,,0,deny,manual,249,,FALSCH,WAHR
Chevrolet-Spark-1-0-LS-Klimaanlage,,,,,,,,8 Monate,,2000 km,,,ADA,0,,0,deny,manual,258,,FALSCH,WAHR
