Dealer name,Dealer adress,Purchase price,Reselling price,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Autocenter Koch GmbH,"Alt-Biesdorf 36
12683 Berlin
Autocenter Koch GmbH,"Alt-Biesdorf 36
12683 Berlin
Deutschland",26950,25974,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,Volvo V60 CC D4 AWD Automatik Navigation Vollleder AHK,"<p>
<strong>Abholadresse</strong>
Alt-Biesdorf 36
12683 Berlin
Deutschland<br>
<strong>Fahrzeugzustand</strong>
Unfallfrei<br>
<strong>Kategorie</strong>
Kombi<br>
<strong>Herkunft</strong>
Deutsche Ausführung<br>
<strong>Kilometerstand</strong>
47.750 km<br>
<strong>Hubraum</strong>
2.400 cm³<br>
<strong>Leistung</strong>
140 kW (190 PS)<br>
<strong>Kraftstoffart</strong>
Diesel<br>
<strong>Verbrauch</strong><br>
ca. 5,7 l/100km (kombiniert)<br>
ca. 6,8 l/100km (innerorts)<br>
ca. 5,1 l/100km (außerorts)<br>
<strong>CO2-Emission</strong>
ca. 149 g/km (kombiniert)<br>
<strong>Anzahl der Türen</strong>
4/5<br>
<strong>Anzahl Sitzplätze</strong>
5<br>
<strong>Getriebe</strong>
Automatik<br>
<strong>Schadstoffklasse</strong>
Euro6<br>
<strong>Umweltplakette</strong>
4 (Grün)<br>
<strong>Erstzulassung</strong>
05/2017<br>
<strong>Anzahl der Fahrzeughalter</strong>
1<br>
<strong>HU</strong>
Neu<br>
<strong>Klimatisierung</strong>
2-Zonen-Klimaautomatik<br>
<strong>Farbe (Hersteller)</strong>
Polar Weiß 614<br>
<strong>Farbe</strong>
Weiß<br>
<strong>Innenausstattung</strong>
Vollleder, Andere<br>
<strong>Weitere Eigenschaften</strong><br>
ABS, Allradantrieb, Anhängerkupplung abnehmbar, Armlehne, Beheizbare Frontscheibe, Berganfahrassistent, Bluetooth, Bordcomputer, CD-Spieler, Dachreling, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, ESP, Freisprecheinrichtung, Garantie, Geschwindigkeitsbegrenzer, Isofix, Lederlenkrad, LED-Tagfahrlicht, Leichtmetallfelgen, Lichtsensor, Multifunktionslenkrad, Navigationssystem, Nichtraucher-Fahrzeug, Pannenkit, Partikelfilter, Regensensor, Reifendruckkontrolle, Scheckheftgepflegt, Servolenkung, Sitzheizung, Sommerreifen, Soundsystem, Sprachsteuerung, Start/Stopp-Automatik, Tempomat, Traktionskontrolle, Tuner/Radio, USB, Winterpaket, Zentralverriegelung
</p>",Volvo,,"Marke_Volvo, Typ_Kombi, Alter_maximal 5 Jahre,Alter_Alle, Kilometerstand_maximal 50.000 km,Kilometerstand_maximal 80.000 km,Kilometerstand_maximal 100.000 km, Leistung_150 bis 200 PS,Leistung_Alle, Schaltung_Automatik, Farbe_Weiß, Kraftstoff_Diesel, Zustand_Gebraucht, Preis_Premium (ab 400 €)",WAHR,Deine Abo Dauer,3 Monate,Dein monatliches Kilometerpaket,500 km,,,ADA,0,,0,deny,manual,759,,FALSCH,WAHR,,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/zQ4AAOSwzRpe38Pk/$_27.JPG,1,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/PpcAAOSw~6Be38Pk/$_27.JPG,2,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/O4MAAOSws4te38Pk/$_27.JPG,3,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/24IAAOSw35Be38Pk/$_27.JPG,4,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/4oQAAOSw7ple38Pk/$_27.JPG,5,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/dCYAAOSwOahe38Pk/$_27.JPG,6,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/K7AAAOSwXXxe38Pk/$_27.JPG,7,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/hdcAAOSw1N1e38Pk/$_27.JPG,8,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/Q88AAOSwyPRe38Pk/$_27.JPG,9,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/OyYAAOSwWbxe38Pk/$_27.JPG,10,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/TvEAAOSwPY5e38Pk/$_27.JPG,11,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/v6cAAOSwmkFe38Pk/$_27.JPG,12,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/sDkAAOSw6IFe38Pk/$_27.JPG,13,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/67YAAOSwVNpe38Pk/$_27.JPG,14,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/Mk8AAOSw7vVe38Po/$_27.JPG,15,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/zQ4AAOSwzRpe38Pk/$_27.JPG,16,,,,,,,,,,,nil
,,,25839,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,,,,,,,,3 Monate,,1000 km,,,ADA,0,,0,deny,manual,809,,FALSCH,WAHR
,,,25705,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,,,,,,,,3 Monate,,1500 km,,,ADA,0,,0,deny,manual,859,,FALSCH,WAHR
,,,25570,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,,,,,,,,3 Monate,,2000 km,,,ADA,0,,0,deny,manual,908,,FALSCH,WAHR
,,,25435,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,,,,,,,,3 Monate,,2500 km,,,ADA,0,,0,deny,manual,958,,FALSCH,WAHR
,,,25682,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,,,,,,,,4 Monate,,500 km,,,ADA,0,,0,deny,manual,740,,FALSCH,WAHR
,,,25502,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,,,,,,,,4 Monate,,1000 km,,,ADA,0,,0,deny,manual,789,,FALSCH,WAHR
,,,25323,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,,,,,,,,4 Monate,,1500 km,,,ADA,0,,0,deny,manual,839,,FALSCH,WAHR
,,,25143,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,,,,,,,,4 Monate,,2000 km,,,ADA,0,,0,deny,manual,888,,FALSCH,WAHR
,,,24963,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,,,,,,,,4 Monate,,2500 km,,,ADA,0,,0,deny,manual,938,,FALSCH,WAHR
,,,25390,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,,,,,,,,5 Monate,,500 km,,,ADA,0,,0,deny,manual,728,,FALSCH,WAHR
,,,25165,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,,,,,,,,5 Monate,,1000 km,,,ADA,0,,0,deny,manual,777,,FALSCH,WAHR
,,,24941,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,,,,,,,,5 Monate,,1500 km,,,ADA,0,,0,deny,manual,827,,FALSCH,WAHR
,,,24716,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,,,,,,,,5 Monate,,2000 km,,,ADA,0,,0,deny,manual,876,,FALSCH,WAHR
,,,24492,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,,,,,,,,5 Monate,,2500 km,,,ADA,0,,0,deny,manual,926,,FALSCH,WAHR
,,,25098,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,,,,,,,,6 Monate,,500 km,,,ADA,0,,0,deny,manual,720,,FALSCH,WAHR
,,,24829,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,,,,,,,,6 Monate,,1000 km,,,ADA,0,,0,deny,manual,769,,FALSCH,WAHR
,,,24559,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,,,,,,,,6 Monate,,1500 km,,,ADA,0,,0,deny,manual,819,,FALSCH,WAHR
,,,24290,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,,,,,,,,6 Monate,,2000 km,,,ADA,0,,0,deny,manual,868,,FALSCH,WAHR
,,,24020,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,,,,,,,,6 Monate,,2500 km,,,ADA,0,,0,deny,manual,936,,FALSCH,WAHR
,,,24806,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,,,,,,,,7 Monate,,500 km,,,ADA,0,,0,deny,manual,730,,FALSCH,WAHR
,,,24492,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,,,,,,,,7 Monate,,1000 km,,,ADA,0,,0,deny,manual,779,,FALSCH,WAHR
,,,24177,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,,,,,,,,7 Monate,,1500 km,,,ADA,0,,0,deny,manual,829,,FALSCH,WAHR
,,,23863,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,,,,,,,,7 Monate,,2000 km,,,ADA,0,,0,deny,manual,878,,FALSCH,WAHR
,,,23548,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,,,,,,,,7 Monate,,2500 km,,,ADA,0,,0,deny,manual,928,,FALSCH,WAHR
,,,24514,Volvo-V60-CC-D4-AWD-Automatik-Navigation-Vollleder-AHK,,,,,,,,8 Monate,,500 km,,,ADA,0,,0,deny,manual,723,,FALSCH,WAHR
